# Each line contains 3 floating point values
# for x, y and z values in the scatter chart
 -10.0,5.0,-5.0,
 -9.0,3.0,-4.5,
 -8.5,4.1,-4.0,
 -8.0,4.75,-3.9,
 -9.5,4.9,-4.2,
 -9.9,3.42,-3.5,
 -7.8,3.1,-4.9,
 -7.3,2.91,-4.1,
 -7.1,3.68,-4.52,
 -8.8,2.96,-3.6,
 -6.94,2.4,-2.92,
 -9.02,4.74,-4.18,
 -9.54,3.1,-3.8,
 -6.86,3.66,-3.58,
 -8.16,1.82,-4.64,
 -7.4,3.18,-4.22,
 -7.9,3.06,-4.3,
 -8.98,2.64,-4.44,
 -6.36,3.96,-4.38,
 -7.18,3.32,-4.04,
 -7.9,3.4,-2.78,
 -7.4,3.12,-3.1,
 -7.54,2.8,-3.68,
 2.25,1.36,-1.3,
 -2,-0.08,1,
 2.65,-1.2,2.7,
 -2.55,3.48,-0.45,
 -3.85,0.2,0.5,
 2.85,1.32,1.05,
 -0.4,-2.36,-1.6,
 1.5,0.36,-0.55,
 0.25,0.12,-0.75,
 -2.45,-0.72,-1.1,
 4.1,1.92,-0.95,
 2.05,0.64,-0.1,
 0.25,0.8,3.05,
 1.5,0.24,2.25,
 1.15,-0.4,0.8,
 -0.05,0.12,0.25,
 0.9,-0.48,-3.2,
 3.55,-1.04,-0.95,
 -2.4,-0.96,-0.65,
 4.25,0.16,2.05,
 -0.6,1,-0.2,
 0,-0.84,-0.95,
 -4.2,1.44,0.85,
 -1.5,-1.2,-1.5,
 -3.35,-1.96,1.8,
 -2.75,-0.96,-1.2,
 -2.45,0.28,-4.55,
 2.7,-1.4,-0.65,
 2.7,2.2,-2.4,
 -0.8,-2.04,3.75,
 -1,-1.84,2.35,
 -3.25,-1.6,-4.4,
 -0.35,-0.56,-1.75,
 -0.8,-0.28,-0.05,
 4.75,-1.48,-2.45,
 4.35,1.4,0.8,
 -3.2,2,0.5,
 2,1.92,0.55,
 -0.45,0.68,-0.8,
 -2.7,2,-2.4,
 -1.65,1.32,-2.05,
 -1.6,1.8,-3.65,
 -1.2,-0.72,0.85,
 1.4,1.08,2.1,
 -3.9,-1.16,-0.85,
 3.15,0.12,-0.95,
 -1.35,-2.64,-0.5,
 -4.15,1.28,-4.4,
 -2,2.48,-0.15,
 -3.4,0.6,0,
 -1.5,-0.96,2.35,
 -0.75,1.16,-0.75,
 -0.85,0.64,-1.75,
 0.85,0.48,2.9,
 4.05,3.24,-0.1,
 0.65,0.84,0.3,
 -2.1,0.92,-2.75,
 -0.65,0.16,1.6,
 -1.8,-1.48,-2.15,
 -1.6,2.96,1.85,
 -0.75,0.28,-0.75,
 2.2,1.16,2.65,
 2.6,2.92,-0.2,
 -1.65,3.28,2.5,
 -0.5,2.52,-1.15,
 -1.85,0.52,-2,
 0.15,-2.36,-0.5,
 -3.9,0.28,-0.25,
 0.1,-3.88,-0.7,
 -1,-1.96,0.95,
 -0.3,-3.52,-1.45,
 3.2,-2.56,2.5,
 0,-2.44,1.35,
 1.45,-1.96,0.1,
 3.55,-2.16,1.75,
 2.8,-0.72,-0.3,
 -1.65,-0.6,0.25,
 -4.35,-1.32,-2.3,
 2.75,-1.88,1.7,
 2.75,-0.6,2.45,
 0.15,-0.88,-0.2,
 0.15,0.04,-0.1,
 -1.2,-2.92,-3,
 -0.7,0.16,3.5,
 -1.8,-2.4,0.2,
 1.25,2.64,1.65,
 -0.65,1.32,-0.55,
 3.85,2.32,-1,
 1.65,-2.28,0.95,
 -2.45,-2.96,3.45,
 -1.75,0.36,1.6,
 1.1,-0.84,0.35,
 -1.55,1.6,-3.1,
 0.4,-1.36,-1.55,
 -3.95,0.2,3.7,
 -1.8,-0.24,2.2,
 -0.45,1.64,1.35,
 -0.6,-0.72,2.5,
 -1.2,-3.04,-1.55,
